,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
92221,20120308,MERCADOLIBRE INC,MELI,4203642.66,4.0,1.0,10.0,1.0,4.0,10,10.0,1.0,7.0,8.0,1.0,5.0,10.0,,3.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,10.0,10.0,1.0,8.0,,,8.0,7.0,3.0,7.0,4.0,10.0,7.0,,1.0,6.0,9.0,10.0,3.0,10.0,2.0,4.0,2.0,,3.0,,,,10.0,9,3.0,10,1
92223,20120308,POINT 360 NEW,PTSX,-9330.2875,10.0,10.0,9.0,10.0,10.0,1,10.0,1.0,7.0,10.0,10.0,8.0,6.0,,1.0,,6.0,3.0,7.0,10.0,10.0,9.0,1.0,1.0,10.0,1.0,,,,2.0,,,10.0,10.0,10.0,,9.0,8.0,,3.0,3.0,3.0,10.0,1.0,10.0,,10.0,,,,1.0,9,10.0,10,1
92226,20120308,SUCAMPO PHARMACEUTICALS INV,SCMP,116523.68,10.0,9.0,1.0,10.0,3.0,1,1.0,1.0,7.0,5.0,7.0,2.0,1.0,,1.0,,10.0,8.0,5.0,9.0,9.0,8.0,2.0,2.0,6.0,6.0,,,8.0,4.0,10.0,6.0,6.0,7.0,6.0,,3.0,5.0,,,,,1.0,1.0,5.0,,1.0,,,,2.0,9,10.0,10,1
92227,20120308,SMART BALANCE INC,SMBL,359534.0,9.0,10.0,6.0,10.0,10.0,1,1.0,10.0,9.0,5.0,10.0,3.0,8.0,,1.0,,5.0,8.0,3.0,5.0,7.0,7.0,1.0,1.0,5.0,8.0,,,8.0,2.0,10.0,10.0,4.0,9.0,8.0,,9.0,8.0,5.0,3.0,3.0,3.0,2.0,1.0,9.0,,1.0,,,,1.0,9,6.0,10,1
92229,20120308,VIRTUSA CORP,VRTU,386258.88,9.0,5.0,7.0,,7.0,1,10.0,1.0,2.0,3.0,2.0,5.0,8.0,,3.0,2.0,6.0,4.0,5.0,10.0,9.0,2.0,7.0,4.0,2.0,1.0,,,2.0,7.0,2.0,3.0,7.0,5.0,1.0,,5.0,2.0,,6.0,5.0,8.0,8.0,4.0,8.0,,9.0,,,,3.0,9,10.0,10,1
92232,20120308,HORSEHEAD HOLDING CORP,ZINC,492287.2,9.0,7.0,2.0,8.0,4.0,10,10.0,1.0,5.0,3.0,3.0,5.0,2.0,,5.0,4.0,6.0,2.0,3.0,4.0,1.0,4.0,7.0,4.0,4.0,5.0,,,5.0,1.0,7.0,4.0,2.0,2.0,1.0,,9.0,5.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,,2.0,,,,3.0,9,4.0,10,1
92239,20120308,CONCHO RESOURCES INC,CXO,10749645.15,2.0,3.0,3.0,2.0,1.0,10,1.0,10.0,1.0,8.0,1.0,1.0,10.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,3.0,,,9.0,5.0,7.0,4.0,7.0,6.0,1.0,,3.0,4.0,4.0,2.0,2.0,1.0,7.0,6.0,3.0,,9.0,9.0,9.0,,10.0,9,5.0,10,1
92243,20120308,DOLAN CO,DM,285283.41,10.0,7.0,7.0,8.0,9.0,10,10.0,1.0,7.0,4.0,7.0,3.0,9.0,,8.0,8.0,2.0,7.0,1.0,1.0,3.0,5.0,7.0,6.0,4.0,5.0,,,9.0,7.0,10.0,10.0,5.0,3.0,6.0,,9.0,6.0,,,,,9.0,4.0,7.0,,9.0,,,,2.0,9,10.0,10,1
92245,20120308,EXTERRAN HOLDINGS INC,EXH,900408.69,7.0,10.0,3.0,10.0,8.0,10,1.0,10.0,4.0,9.0,10.0,3.0,5.0,,1.0,9.0,5.0,9.0,9.0,9.0,10.0,9.0,1.0,1.0,8.0,2.0,,,1.0,9.0,5.0,3.0,2.0,1.0,10.0,,10.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,,3.0,9,1.0,10,1
92252,20120308,NEURALSTEM INC,CUR,62497.7318,10.0,1.0,,,,1,10.0,1.0,2.0,10.0,1.0,1.0,1.0,,1.0,,10.0,6.0,1.0,8.0,,1.0,,1.0,1.0,1.0,,,,4.0,,,8.0,1.0,10.0,,1.0,1.0,,,,,2.0,1.0,10.0,,1.0,,,,1.0,9,10.0,10,1
92254,20120308,PARAMOUNT GOLD & SILVER CORP,PZG,329897.67,9.0,1.0,,1.0,,1,10.0,1.0,1.0,10.0,1.0,,,,2.0,,4.0,1.0,5.0,1.0,,1.0,1.0,1.0,1.0,10.0,,,,1.0,,,2.0,2.0,1.0,,1.0,3.0,,1.0,2.0,1.0,8.0,2.0,8.0,,4.0,,,,1.0,9,5.0,10,1
92257,20120308,VMWARE INC,VMW,12585506.12,2.0,4.0,8.0,3.0,6.0,10,10.0,10.0,1.0,9.0,1.0,2.0,10.0,,4.0,2.0,10.0,6.0,2.0,4.0,1.0,2.0,7.0,6.0,2.0,5.0,,,3.0,7.0,2.0,4.0,8.0,8.0,7.0,,3.0,1.0,9.0,8.0,6.0,9.0,3.0,3.0,6.0,,4.0,,,,10.0,9,2.0,10,1
92266,20120308,CHINA DIRECT INDUSTRIES INC,CDII,34243.44,10.0,10.0,2.0,10.0,7.0,1,1.0,1.0,1.0,2.0,2.0,7.0,1.0,,1.0,,8.0,2.0,10.0,8.0,1.0,7.0,1.0,2.0,9.0,5.0,,,,1.0,,,9.0,2.0,5.0,,10.0,1.0,,2.0,10.0,,9.0,1.0,4.0,,7.0,,,,1.0,9,10.0,10,1
92268,20120308,DUFF & PHELPS CORP NEW,DUF,495281.44,9.0,,,,,10,10.0,10.0,1.0,,,,,3.0,4.0,2.0,,,,,,5.0,5.0,3.0,5.0,4.0,,,10.0,3.0,,,6.0,6.0,1.0,,,1.0,,5.0,6.0,6.0,10.0,4.0,5.0,,10.0,,,,3.0,9,9.0,10,1
92282,20120308,PROCERA NETWORKS INC,PKT,279735.84,10.0,1.0,9.0,1.0,5.0,1,10.0,1.0,1.0,1.0,1.0,5.0,9.0,,1.0,,8.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,10.0,,,10.0,10.0,7.0,9.0,2.0,10.0,7.0,,1.0,1.0,,8.0,3.0,9.0,1.0,2.0,9.0,,3.0,,,,4.0,9,2.0,10,1
