,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
90480,20070904,FIRST STATE FINANCIAL CORP,FSTF,91700.8,10.0,,,,,10,1.0,1.0,6.0,,,,,5.0,6.0,2.0,,,,,,10.0,2.0,5.0,2.0,,,,5.0,2.0,,,10.0,2.0,2.0,,,5.0,1.0,3.0,3.0,2.0,9.0,4.0,,,9.0,,,,2.0,9,10.0,10,1
90482,20070904,HOME FED BANCORP INC,HOME,211572.48,10.0,,,,,1,1.0,1.0,5.0,,,,,1.0,2.0,1.0,,,,,,9.0,2.0,3.0,1.0,,,,2.0,2.0,,,10.0,3.0,2.0,,,6.0,,3.0,3.0,2.0,5.0,6.0,,,6.0,7.0,4.0,,2.0,9,10.0,10,1
90485,20070904,CAMBRIDGE DISPLAY TECHNOLOGY INC,OLED,257204.48,10.0,7.0,,8.0,,1,10.0,1.0,5.0,10.0,10.0,1.0,1.0,,1.0,,7.0,8.0,7.0,10.0,10.0,3.0,1.0,1.0,1.0,5.0,,,,8.0,,,10.0,10.0,10.0,,4.0,5.0,,1.0,1.0,1.0,4.0,1.0,,,5.0,,,,2.0,9,10.0,10,10
90486,20070904,ORANGE 21 INC,ORNG,36147.35,10.0,8.0,8.0,9.0,10.0,1,1.0,1.0,7.0,10.0,2.0,5.0,8.0,,1.0,,3.0,9.0,1.0,3.0,5.0,6.0,1.0,1.0,7.0,2.0,,,,6.0,,,10.0,7.0,1.0,,8.0,7.0,,1.0,1.0,1.0,10.0,5.0,,,10.0,,,,1.0,9,10.0,10,10
90487,20070904,OCEAN SHORE HOLDING CO,OSHC,95289.6,10.0,,,,,1,1.0,10.0,8.0,,,,,,2.0,1.0,,,,,,10.0,2.0,2.0,1.0,,,,2.0,2.0,,,10.0,2.0,2.0,,,8.0,3.0,2.0,2.0,2.0,4.0,2.0,,,6.0,,,,2.0,9,10.0,10,1
90488,20070904,OCCULOGIX INC,OCCX,48710.1,10.0,10.0,,10.0,,1,10.0,1.0,1.0,10.0,10.0,1.0,1.0,,,,10.0,9.0,3.0,4.0,10.0,6.0,1.0,1.0,1.0,2.0,,,,6.0,,,9.0,1.0,10.0,,10.0,1.0,,1.0,1.0,1.0,10.0,1.0,,,10.0,,,,1.0,9,10.0,10,10
90489,20070904,HOUSEVALUES INC,SOLD,98874.57,10.0,,,8.0,,1,10.0,10.0,10.0,,,,,,1.0,1.0,,,,,,3.0,1.0,1.0,5.0,6.0,,,,7.0,,,2.0,1.0,10.0,,,7.0,,1.0,2.0,1.0,8.0,2.0,,,8.0,,,,1.0,9,10.0,10,10
90490,20070904,BANCORP INC,TBBK,283299.12,10.0,,,,,10,1.0,1.0,4.0,,,,,,3.0,1.0,,,,,,9.0,2.0,4.0,1.0,,,,1.0,2.0,,,6.0,1.0,1.0,,,4.0,9.0,5.0,6.0,2.0,1.0,3.0,,,2.0,,,,3.0,9,8.0,10,1
90491,20070904,GREAT WOLF RESORTS INC,WOLF,446071.0,9.0,9.0,1.0,9.0,4.0,1,1.0,1.0,5.0,9.0,4.0,1.0,7.0,,1.0,,2.0,1.0,4.0,8.0,6.0,7.0,1.0,1.0,2.0,7.0,,,4.0,5.0,7.0,3.0,2.0,5.0,2.0,,8.0,5.0,,1.0,1.0,1.0,2.0,7.0,,,2.0,2.0,3.0,,2.0,9,8.0,10,10
90492,20070904,WARREN RESOURCES INC,WRES,687176.66,9.0,5.0,1.0,6.0,1.0,10,10.0,1.0,1.0,6.0,7.0,1.0,3.0,,2.0,1.0,3.0,1.0,2.0,5.0,8.0,2.0,2.0,1.0,1.0,1.0,,,5.0,9.0,5.0,1.0,2.0,1.0,9.0,,5.0,1.0,,2.0,2.0,4.0,2.0,4.0,,,2.0,,,,2.0,9,4.0,10,10
90493,20070904,ADVANCE AMERICA CASH ADV CTRS IN,AEA,1014039.0,7.0,,,,,10,1.0,10.0,9.0,,,,,8.0,7.0,5.0,,,,,,2.0,10.0,9.0,4.0,10.0,1.0,,7.0,2.0,,,5.0,3.0,6.0,,,9.0,,7.0,4.0,9.0,10.0,1.0,,,10.0,,,,2.0,9,6.0,10,10
90494,20070904,BILL BARRETT CORP,BBG,1616474.8,7.0,8.0,5.0,8.0,8.0,10,1.0,1.0,5.0,3.0,1.0,1.0,10.0,,5.0,10.0,1.0,1.0,1.0,3.0,2.0,5.0,6.0,3.0,2.0,1.0,,,8.0,9.0,9.0,9.0,1.0,6.0,9.0,,7.0,3.0,,3.0,2.0,4.0,4.0,5.0,,,4.0,,,,6.0,9,2.0,10,10
