,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
10001,20070504,ENERGY WEST INC,EWST,42718.46,10.0,9.0,2.0,,5.0,10,10.0,1.0,5.0,2.0,9.0,8.0,1.0,1.0,5.0,8.0,5.0,7.0,10.0,5.0,8.0,8.0,4.0,3.0,9.0,2.0,1.0,,9.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,3.0,,8.0,10.0,7.0,7.0,2.0,10.0,10.0,7.0,,,5.0,2.0,5,10.0,10,1
10002,20070504,BANCTRUST FINANCIAL GROUP INC,BTFG,219153.33,10.0,,,,,10,1.0,1.0,6.0,,,,,8.0,7.0,4.0,,,,,,10.0,2.0,5.0,2.0,,8.0,,1.0,1.0,,,6.0,5.0,4.0,4.0,,6.0,1.0,5.0,4.0,2.0,10.0,2.0,9.0,6.0,9.0,,,3.0,3.0,5,10.0,10,1
10025,20070504,A E P INDUSTRIES INC,AEPI,354572.64,10.0,1.0,9.0,1.0,3.0,10,1.0,1.0,4.0,9.0,10.0,10.0,3.0,,2.0,7.0,,10.0,8.0,9.0,10.0,7.0,2.0,9.0,10.0,6.0,,,3.0,7.0,1.0,2.0,6.0,8.0,1.0,8.0,2.0,10.0,,10.0,10.0,9.0,8.0,3.0,10.0,1.0,8.0,,,6.0,7.0,5,8.0,10,1
10026,20070504,J & J SNACK FOODS CORP,JJSF,740399.5,9.0,5.0,9.0,6.0,10.0,1,10.0,1.0,4.0,8.0,4.0,8.0,7.0,,5.0,6.0,6.0,4.0,3.0,8.0,6.0,2.0,8.0,5.0,5.0,6.0,,,8.0,3.0,8.0,10.0,6.0,7.0,4.0,4.0,5.0,4.0,,5.0,3.0,7.0,8.0,5.0,7.0,2.0,8.0,,,4.0,6.0,5,10.0,10,1
10028,20070504,D G S E COMPANIES INC,DGSE,11692.94,10.0,7.0,9.0,8.0,10.0,1,1.0,1.0,7.0,3.0,3.0,10.0,2.0,,5.0,3.0,2.0,2.0,3.0,1.0,3.0,6.0,5.0,4.0,10.0,10.0,,,,2.0,,,10.0,5.0,9.0,8.0,7.0,6.0,,2.0,3.0,,8.0,1.0,10.0,10.0,7.0,,,8.0,1.0,5,10.0,10,1
10032,20070504,PLEXUS CORP,PLXS,1004499.44,6.0,4.0,4.0,4.0,2.0,10,1.0,1.0,2.0,10.0,4.0,10.0,1.0,,1.0,1.0,9.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,7.0,10.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,7.0,3.0,,6.0,6.0,6.0,1.0,2.0,1.0,7.0,1.0,,,3.0,3.0,5,2.0,10,1
10042,20070504,CANYON RESOURCES CORP,CAU,32017.45,10.0,2.0,1.0,4.0,1.0,1,10.0,1.0,1.0,1.0,10.0,1.0,3.0,,1.0,,10.0,10.0,10.0,9.0,10.0,2.0,,1.0,1.0,10.0,,,,1.0,,,10.0,1.0,3.0,10.0,4.0,1.0,,8.0,5.0,8.0,4.0,1.0,10.0,10.0,2.0,,,2.0,1.0,5,9.0,10,1
10044,20070504,ROCKY MOUNTAIN CHOCOLATE FAC INC,RMCF,81654.95,10.0,1.0,9.0,1.0,4.0,10,10.0,10.0,8.0,2.0,5.0,7.0,7.0,,3.0,1.0,6.0,4.0,4.0,1.0,4.0,1.0,10.0,9.0,1.0,3.0,,,3.0,3.0,1.0,2.0,10.0,2.0,6.0,2.0,2.0,8.0,,,,,8.0,5.0,10.0,2.0,7.0,,,3.0,2.0,5,10.0,10,1
10051,20070504,HANGER ORTHOPEDIC GROUP INC,HGR,260391.75,10.0,10.0,8.0,10.0,10.0,10,1.0,1.0,4.0,4.0,8.0,5.0,8.0,,10.0,10.0,2.0,6.0,4.0,10.0,9.0,10.0,4.0,4.0,10.0,5.0,,,10.0,5.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,4.0,,2.0,9.0,,6.0,2.0,8.0,8.0,5.0,,,4.0,1.0,5,8.0,10,1
10078,20070504,SUN MICROSYSTEMS INC,SUNW,18708083.8,2.0,5.0,7.0,6.0,7.0,10,10.0,1.0,3.0,5.0,8.0,4.0,8.0,,1.0,1.0,10.0,9.0,6.0,7.0,9.0,5.0,1.0,1.0,5.0,6.0,,9.0,8.0,5.0,7.0,8.0,9.0,7.0,2.0,10.0,5.0,3.0,,5.0,2.0,3.0,10.0,2.0,1.0,8.0,10.0,,,2.0,1.0,5,2.0,10,1
10092,20070504,4 KIDS ENTERTAINMENT INC,KDE,219909.12,10.0,8.0,4.0,,8.0,1,10.0,10.0,8.0,3.0,10.0,2.0,8.0,,2.0,1.0,10.0,8.0,2.0,8.0,10.0,4.0,4.0,2.0,3.0,3.0,,,6.0,4.0,8.0,8.0,6.0,6.0,8.0,9.0,9.0,5.0,,1.0,1.0,1.0,10.0,8.0,5.0,5.0,10.0,10.0,9.0,6.0,2.0,5,9.0,10,1
10100,20070504,AMERICAN CLAIMS EVALUATION INC,AMCE,-9119.23,10.0,8.0,1.0,9.0,4.0,1,10.0,1.0,8.0,6.0,5.0,1.0,9.0,,1.0,,10.0,9.0,2.0,1.0,10.0,4.0,1.0,1.0,1.0,6.0,,,,8.0,,,10.0,1.0,2.0,4.0,9.0,6.0,,1.0,1.0,1.0,10.0,1.0,10.0,10.0,10.0,,,9.0,1.0,5,10.0,10,1
10104,20070504,ORACLE CORP,ORCL,97830622.89,1.0,1.0,8.0,1.0,4.0,1,1.0,10.0,4.0,9.0,1.0,3.0,10.0,,4.0,2.0,4.0,6.0,7.0,8.0,4.0,1.0,10.0,9.0,1.0,,,10.0,3.0,3.0,1.0,2.0,9.0,8.0,5.0,6.0,2.0,9.0,8.0,9.0,5.0,9.0,5.0,7.0,1.0,3.0,5.0,5.0,3.0,2.0,2.0,5,6.0,10,1
10107,20070504,MICROSOFT CORP,MSFT,292361652.48,1.0,1.0,9.0,2.0,4.0,10,10.0,10.0,10.0,9.0,10.0,3.0,10.0,3.0,4.0,2.0,,8.0,2.0,10.0,6.0,1.0,10.0,9.0,1.0,8.0,10.0,9.0,3.0,3.0,1.0,3.0,9.0,7.0,6.0,8.0,1.0,10.0,10.0,10.0,7.0,10.0,3.0,8.0,3.0,2.0,3.0,2.0,1.0,9.0,5.0,5,7.0,10,1
10116,20070504,ACURA PHARMACEUTICALS INC,<undefined>,,,,,,,1,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,1
10119,20070504,21ST CENTURY INSURANCE GROUP,TW,1884232.75,7.0,,,,,1,10.0,1.0,6.0,,,,,2.0,7.0,4.0,,,,,,6.0,6.0,5.0,6.0,,2.0,,10.0,4.0,,,7.0,9.0,8.0,9.0,,3.0,,6.0,4.0,5.0,8.0,10.0,9.0,3.0,9.0,9.0,8.0,6.0,3.0,5,10.0,10,1
10137,20070504,ALLEGHENY ENERGY INC,AYE,9175605.05,3.0,5.0,1.0,,2.0,10,1.0,10.0,6.0,8.0,9.0,2.0,5.0,,2.0,4.0,6.0,7.0,10.0,6.0,6.0,7.0,2.0,2.0,4.0,4.0,,,8.0,9.0,7.0,4.0,8.0,9.0,5.0,9.0,3.0,4.0,,3.0,6.0,,2.0,8.0,5.0,2.0,2.0,2.0,6.0,2.0,8.0,1,7.0,10,1
10138,20070504,T ROWE PRICE GROUP INC,TROW,13328811.6,2.0,,,,,10,10.0,10.0,5.0,,,,,4.0,4.0,2.0,,,,,,1.0,10.0,9.0,1.0,9.0,7.0,,3.0,4.0,,,9.0,6.0,3.0,2.0,,6.0,9.0,9.0,5.0,10.0,4.0,9.0,1.0,8.0,5.0,5.0,4.0,6.0,8.0,5,8.0,10,1
10143,20070504,O S I PHARMACEUTICALS INC,OSIP,2068300.07,6.0,4.0,2.0,1.0,1.0,10,1.0,10.0,1.0,1.0,1.0,1.0,10.0,,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,2.0,8.0,5.0,9.0,1.0,4.0,,10.0,4.0,9.0,4.0,6.0,3.0,8.0,7.0,7.0,4.0,1.0,6.0,5,1.0,10,1
10145,20070504,HONEYWELL INTERNATIONAL INC,HON,43757774.16,1.0,4.0,4.0,5.0,2.0,10,10.0,10.0,9.0,3.0,6.0,5.0,4.0,7.0,5.0,4.0,,6.0,6.0,7.0,6.0,5.0,6.0,7.0,6.0,2.0,1.0,6.0,6.0,9.0,5.0,3.0,8.0,6.0,4.0,7.0,3.0,10.0,8.0,9.0,6.0,7.0,1.0,8.0,2.0,8.0,1.0,1.0,5.0,9.0,8.0,1,7.0,10,1
10147,20070504,E M C CORP MA,EMC,32157491.96,1.0,4.0,7.0,5.0,5.0,10,1.0,10.0,8.0,8.0,5.0,3.0,9.0,,3.0,2.0,,5.0,2.0,2.0,4.0,2.0,7.0,4.0,2.0,2.0,,,6.0,5.0,5.0,6.0,8.0,4.0,6.0,6.0,4.0,10.0,7.0,7.0,4.0,7.0,2.0,5.0,1.0,3.0,2.0,,,2.0,2.0,5,2.0,10,1
10163,20070504,X RITE INC,XRIT,376721.28,10.0,7.0,9.0,7.0,10.0,1,10.0,1.0,1.0,2.0,4.0,5.0,10.0,3.0,5.0,5.0,3.0,7.0,5.0,10.0,8.0,3.0,8.0,4.0,4.0,8.0,1.0,,7.0,2.0,8.0,10.0,2.0,4.0,6.0,5.0,7.0,1.0,,4.0,2.0,2.0,9.0,3.0,4.0,1.0,9.0,,,3.0,2.0,5,8.0,10,1
10180,20070504,AKORN INC,AKRX,635632.2,10.0,1.0,6.0,1.0,1.0,1,10.0,1.0,1.0,10.0,10.0,4.0,7.0,,1.0,,4.0,6.0,10.0,1.0,10.0,2.0,1.0,1.0,2.0,2.0,,,10.0,3.0,4.0,4.0,4.0,8.0,1.0,,1.0,1.0,,1.0,1.0,,3.0,1.0,9.0,,5.0,,,,1.0,6,10.0,10,1
10182,20070504,TECH DATA CORP,TECD,1957679.6,5.0,9.0,5.0,9.0,8.0,10,10.0,1.0,10.0,2.0,5.0,10.0,1.0,,8.0,6.0,8.0,5.0,5.0,9.0,4.0,8.0,5.0,4.0,10.0,7.0,,9.0,2.0,5.0,6.0,4.0,5.0,3.0,7.0,9.0,9.0,7.0,,6.0,8.0,5.0,8.0,7.0,3.0,4.0,6.0,6.0,6.0,3.0,6.0,5,3.0,10,1
